image_name,class_id,x_center,y_center,width,height,confidence
gk2_33,0,0.826953,0.625694,0.0101562,0.0152778,0.664381
gk2_34,0,0.826953,0.625694,0.0101562,0.0152778,0.678122
gk2_35,0,0.826953,0.625694,0.0101562,0.0152778,0.677971
gk2_36,0,0.826953,0.625694,0.0101562,0.0152778,0.696212
gk2_37,0,0.826953,0.626389,0.0101562,0.0166667,0.673099
gk2_38,0,0.826953,0.625694,0.0101562,0.0152778,0.692587
gk2_39,0,0.826953,0.625694,0.0101562,0.0152778,0.714141
gk2_40,0,0.826953,0.625694,0.0101562,0.0152778,0.720613
gk2_41,0,0.826953,0.625694,0.0101562,0.0152778,0.720551
gk2_42,0,0.826953,0.626389,0.0101562,0.0166667,0.72185
gk2_43,0,0.826953,0.626389,0.0101562,0.0166667,0.715004
gk2_44,0,0.826953,0.626389,0.0101562,0.0166667,0.7066
gk2_45,0,0.826953,0.626389,0.0101562,0.0166667,0.709283
gk2_46,0,0.826953,0.626389,0.0101562,0.0166667,0.70756
gk2_47,0,0.826953,0.626389,0.0101562,0.0166667,0.707612
gk2_48,0,0.826953,0.626389,0.0101562,0.0166667,0.703013
gk2_49,0,0.826953,0.626389,0.0101562,0.0166667,0.701896
gk2_50,0,0.826953,0.626389,0.0101562,0.0166667,0.70012
gk2_51,0,0.826953,0.626389,0.0101562,0.0166667,0.700443
gk2_52,0,0.826953,0.626389,0.0101562,0.0166667,0.689501
gk2_53,0,0.826953,0.626389,0.0101562,0.0166667,0.689592
gk2_54,0,0.826953,0.626389,0.0101562,0.0166667,0.682737
gk2_55,0,0.826953,0.626389,0.0101562,0.0166667,0.683372
gk2_56,0,0.826953,0.626389,0.0101562,0.0166667,0.682786
gk2_57,0,0.826953,0.626389,0.0101562,0.0166667,0.690345
gk2_58,0,0.826953,0.626389,0.0101562,0.0166667,0.688474
gk2_59,0,0.826953,0.626389,0.0101562,0.0166667,0.688373
gk2_60,0,0.826953,0.626389,0.0101562,0.0166667,0.695653
gk2_61,0,0.826953,0.626389,0.0101562,0.0166667,0.702444
gk2_62,0,0.826953,0.626389,0.0101562,0.0166667,0.704167
gk2_63,0,0.826953,0.626389,0.0101562,0.0166667,0.698323
gk2_64,0,0.826953,0.626389,0.0101562,0.0166667,0.679916
gk2_65,0,0.826953,0.626389,0.0101562,0.0166667,0.679781
gk2_66,0,0.826953,0.626389,0.0101562,0.0166667,0.691052
gk2_67,0,0.827344,0.626389,0.0109375,0.0166667,0.693498
gk2_68,0,0.827344,0.626389,0.0109375,0.0166667,0.697494
gk2_69,0,0.827734,0.626389,0.0101562,0.0166667,0.671924
gk2_70,0,0.827734,0.626389,0.0101562,0.0166667,0.670888
gk2_71,0,0.827734,0.626389,0.0101562,0.0166667,0.670743
gk2_72,0,0.827734,0.626389,0.0101562,0.0166667,0.659852
gk2_73,0,0.828125,0.626389,0.009375,0.0166667,0.680698
gk2_74,0,0.828516,0.626389,0.0101562,0.0166667,0.698769
gk2_75,0,0.828516,0.626389,0.0101562,0.0166667,0.695209
gk2_76,0,0.829297,0.626389,0.0101562,0.0166667,0.739976
gk2_77,0,0.829297,0.626389,0.0101562,0.0166667,0.740042
gk2_78,0,0.829687,0.626389,0.009375,0.0166667,0.757183
gk2_79,0,0.829687,0.627083,0.009375,0.0152778,0.741252
gk2_80,0,0.830078,0.627083,0.0101562,0.0152778,0.76344
gk2_81,0,0.830469,0.626389,0.009375,0.0166667,0.745192
gk2_82,0,0.831641,0.627083,0.0101562,0.0180556,0.770503
gk2_83,0,0.831641,0.627083,0.0101562,0.0180556,0.770737
gk2_84,0,0.832812,0.627778,0.0109375,0.0166667,0.779212
gk2_85,0,0.833594,0.627778,0.0109375,0.0166667,0.772165
gk2_86,0,0.834766,0.627778,0.0101562,0.0166667,0.787768
gk2_87,0,0.835938,0.628472,0.009375,0.0152778,0.791304
gk2_88,0,0.837891,0.628472,0.0101562,0.0152778,0.767714
gk2_89,0,0.837891,0.628472,0.0101562,0.0152778,0.76619
gk2_90,0,0.839453,0.628472,0.0101562,0.0152778,0.724442
gk2_91,0,0.841406,0.629167,0.009375,0.0166667,0.756274
gk2_92,0,0.842578,0.629861,0.0101562,0.0152778,0.736206
gk2_93,0,0.844922,0.629861,0.0101562,0.0152778,0.671995
gk2_94,0,0.846875,0.629861,0.009375,0.0152778,0.690448
gk2_95,0,0.846875,0.629861,0.009375,0.0152778,0.697127
gk2_96,0,0.849609,0.631944,0.0101562,0.0166667,0.71128
gk2_97,0,0.851953,0.631944,0.0101562,0.0166667,0.712319
gk2_98,0,0.855078,0.631944,0.0101562,0.0166667,0.685103
gk2_99,0,0.857422,0.633333,0.0101562,0.0166667,0.535681
gk2_116,0,0.5625,0.434028,0.0109375,0.0180556,0.405334
gk2_160,0,0.439844,0.959722,0.0109375,0.0166667,0.407169
gk2_161,0,0.440234,0.959722,0.0101562,0.0166667,0.40918
